Camptothecin	5-Fluorouracil	Afatinib	Taselisib	PD0325901	Linsitinib	Sapitinib	Luminespib	Alpelisib	SCH772984
687820	2.099821	9.088811	5.08693	6.110518	1.912682	6.640087	5.641864	5.54945	7.573323	4.150146
687821	0.351629	10.036351	6.539095	8.409022	-0.278639	6.96857	5.290316	0.178822	7.900445	1.954279
687829	0.358145	7.685119	1.742268	4.777153	2.46667	4.796236	4.202524	-0.181065	5.843334	3.669154
687980	NA	NA	1.487749	NA	0.834295	NA	NA	NA	NA	NA
687983	-1.263248	6.881279	NA	2.545917	2.412758	3.421701	5.403914	-2.154241	4.102754	5.068639
687985	-2.533841	5.683339	1.555215	1.937551	1.02362	3.748335	3.787995	-1.811247	2.499316	4.50385
687995	-4.198541	3.34438	2.287743	0.468551	NA	4.189548	5.469694	-1.829305	2.319479	3.799488
687997	-0.57976	6.519024	2.781033	4.323391	2.69473	4.115872	3.820215	-1.75772	5.320226	5.136109
688001	NA	NA	0.442019	NA	-0.991358	NA	NA	NA	NA	NA
688006	-4.490594	5.584438	NA	4.77501	0.778222	3.819937	5.532472	0.775092	5.049849	3.410983
688010	-2.762755	6.508745	1.552293	3.847842	1.424239	2.972937	4.680408	-3.269326	4.6538	3.515202
688011	-1.705886	5.835666	2.392011	3.293286	NA	3.460833	4.096595	1.489399	3.562029	4.006226
688013	-5.568987	4.630498	0.472601	3.382043	1.013701	3.58935	3.906889	-0.440096	4.541169	4.263489
688014	-0.940381	7.203088	2.652316	4.210934	2.979504	4.097583	5.531643	0.458008	4.214574	5.176897
688018	-2.031672	7.181177	5.564265	4.464606	2.178369	4.564499	6.116932	0.735766	4.5306	4.202715
688021	0.454577	7.680558	2.161418	3.433142	1.495957	3.865252	4.252262	1.474555	5.907709	5.686092
688023	-2.022564	6.125567	0.892776	1.49012	1.224331	4.096824	4.918564	-1.885696	3.756637	2.368883
688025	NA	NA	1.503203	NA	1.436417	NA	NA	NA	NA	NA
688026	1.7959	7.274448	NA	1.70697	1.917696	3.721072	5.248133	1.184008	4.146453	5.398947
688027	-1.749722	6.152833	0.421662	-1.333274	1.713654	3.873584	3.370099	-3.061615	0.810487	4.200491
688031	-2.897812	3.389342	1.181727	2.751719	NA	2.662207	3.257116	-0.898706	2.410813	3.039504
688058	-1.877104	5.485376	1.992368	3.106065	2.878184	4.477269	5.890817	-1.221744	4.558648	3.873721
688086	-4.267147	3.854239	1.759822	2.790707	0.804234	1.573682	4.420435	-3.301596	4.196115	3.770294
688087	-2.010414	6.757237	2.040089	1.459504	-0.207142	1.841316	4.600197	-2.856462	1.976687	1.698693
688121	-3.404986	4.241878	3.180962	2.693808	2.4271	4.773488	6.227139	-1.849491	4.779271	4.916003
713869	1.293788	6.228461	3.054388	5.391852	1.565665	5.096285	5.264033	1.631828	4.451469	4.750857
713878	-1.858484	4.347519	1.613554	4.485417	1.554424	4.037359	4.77075	-1.779738	4.772556	4.681682
713880	-3.689053	3.884478	1.828133	1.795465	1.132449	3.29184	3.975685	-3.382716	4.188539	3.089128
713899	-2.420763	4.297113	1.036823	2.401893	0.964579	3.163855	4.845412	-0.305991	3.561699	4.060009
717431	-2.89981	5.224862	2.375647	0.843563	2.647293	2.852674	4.038961	-3.29108	2.303614	3.970831
722046	-3.085383	1.504241	0.732829	-0.155288	-2.280791	1.525983	2.574159	-2.618701	1.161286	-0.236981
722066	-2.645933	6.207722	2.818737	3.430896	-0.062025	4.011572	4.302349	-4.178137	4.441089	2.469252
724825	-3.606339	2.729493	1.436951	-3.763798	-1.008377	-1.487211	4.66684	-4.312027	-1.03294	0.946255
724828	-2.487864	4.28185	1.960222	3.530222	-1.883866	3.390735	4.852505	-2.584996	4.223805	0.152268
724831	-2.306297	3.411608	2.072297	2.496882	-0.428172	4.68767	4.717477	-3.063024	3.159408	1.737493
724834	-3.273861	5.695136	2.906479	3.519142	-1.896236	3.694768	5.552609	-0.822007	4.043309	0.597246
724838	-3.862462	5.590936	2.815699	2.161349	0.934734	4.71706	4.011061	-3.750444	4.89002	3.515209
724839	-1.963715	6.170665	5.775512	7.113755	1.43592	5.185874	5.089921	2.027037	5.503989	3.752579
724855	0.197419	7.354567	2.724714	2.247187	-2.386942	2.558035	5.804918	-0.095591	5.153154	-0.166084
724859	-2.369109	5.735435	2.703005	5.100219	-1.746677	4.296826	4.611835	-1.950357	4.832977	-1.048307
724863	-2.348864	3.97547	2.343568	0.834253	-3.188367	3.968902	3.259534	-3.318614	1.941515	-1.709427
724866	NA	NA	3.056838	NA	-0.02254	NA	NA	NA	NA	NA
724868	-3.601037	2.576445	NA	1.627364	-0.4478	2.719532	3.551206	-4.007945	2.588701	1.458824
724869	-0.296583	6.649465	2.442124	3.119429	-0.698428	5.777126	4.180285	-0.238742	5.422738	0.779337
